country	year	pop	gdpPercap	lifeExp	continent
Afghanistan	1952	8425333	779.4453145	28.801	Asia
Afghanistan	1957	9240934	820.8530296	30.332	Asia
Afghanistan	1962	10267083	853.10071	31.997	Asia
Afghanistan	1967	11537966	836.1971382	34.02	Asia
Afghanistan	1972	13079460	739.9811058	36.088	Asia
Afghanistan	1977	14880372	786.11336	38.438	Asia
Afghanistan	1982	12881816	978.0114388	39.854	Asia
Afghanistan	1987	13867957	852.3959448	40.822	Asia
Afghanistan	1992	16317921	649.3413952	41.674	Asia
Afghanistan	1997	22227415	635.341351	41.763	Asia
Afghanistan	2002	25268405	726.7340548	42.129	Asia
Afghanistan	2007	31889923	974.5803384	43.828	Asia
Albania	1952	1282697	1601.056136	55.23	Europe
Albania	1957	1476505	1942.284244	59.28	Europe
Albania	1962	1728137	2312.888958	64.82	Europe
Albania	1967	1984060	2760.196931	66.22	Europe
Albania	1972	2263554	3313.422188	67.69	Europe
Albania	1977	2509048	3533.00391	68.93	Europe
Albania	1982	2780097	3630.880722	70.42	Europe
Albania	1987	3075321	3738.932735	72	Europe
Albania	1992	3326498	2497.437901	71.581	Europe
Albania	1997	3428038	3193.054604	72.95	Europe
Albania	2002	3508512	4604.211737	75.651	Europe
Albania	2007	3600523	5937.029526	76.423	Europe
Algeria	1952	9279525	2449.008185	43.077	Africa
Algeria	1957	10270856	3013.976023	45.685	Africa
Algeria	1962	11000948	2550.81688	48.303	Africa
Algeria	1967	12760499	3246.991771	51.407	Africa
Algeria	1972	14760787	4182.663766	54.518	Africa
Algeria	1977	17152804	4910.416756	58.014	Africa
Algeria	1982	20033753	5745.160213	61.368	Africa
Algeria	1987	23254956	5681.358539	65.799	Africa
Algeria	1992	26298373	5023.216647	67.744	Africa
Algeria	1997	29072015	4797.295051	69.152	Africa
Algeria	2002	31287142	5288.040382	70.994	Africa
Algeria	2007	33333216	6223.367465	72.301	Africa
Angola	1952	4232095	3520.610273	30.015	Africa
Angola	1957	4561361	3827.940465	31.999	Africa
Angola	1962	4826015	4269.276742	34	Africa
Angola	1967	5247469	5522.776375	35.985	Africa
Angola	1972	5894858	5473.288005	37.928	Africa
Angola	1977	6162675	3008.647355	39.483	Africa
Angola	1982	7016384	2756.953672	39.942	Africa
Angola	1987	7874230	2430.208311	39.906	Africa
Angola	1992	8735988	2627.845685	40.647	Africa
Angola	1997	9875024	2277.140884	40.963	Africa
Angola	2002	10866106	2773.287312	41.003	Africa
Angola	2007	12420476	4797.231267	42.731	Africa
Argentina	1952	17876956	5911.315053	62.485	Americas
Argentina	1957	19610538	6856.856212	64.399	Americas
Argentina	1962	21283783	7133.166023	65.142	Americas
Argentina	1967	22934225	8052.953021	65.634	Americas
Argentina	1972	24779799	9443.038526	67.065	Americas
Argentina	1977	26983828	10079.02674	68.481	Americas
Argentina	1982	29341374	8997.897412	69.942	Americas
Argentina	1987	31620918	9139.671389	70.774	Americas
Argentina	1992	33958947	9308.41871	71.868	Americas
Argentina	1997	36203463	10967.28195	73.275	Americas
Argentina	2002	38331121	8797.640716	74.34	Americas
Argentina	2007	40301927	12779.37964	75.32	Americas
Armenia	1992	3378331	1442.937796	68.663	FSU
Armenia	1997	3059000	1791.34719	70.377	FSU
Armenia	2002	3013818	2692.304039	71.403	FSU
Armenia	2007	2971650	4942.543911	71.965	FSU
Aruba	1972	59461	4939.758007	70.941	Americas
Aruba	1977	59412	7390.359942	71.83	Americas
Aruba	1982	61569	10874.91495	74.116	Americas
Aruba	1987	65415	17674.3389	74.494	Americas
Aruba	1992	67174	25120.54961	74.108	Americas
Aruba	1997	68341	26483.66862	73.011	Americas
Aruba	2002	70441	26467.87062	73.451	Americas
Aruba	2007	72194	27230.67521	74.239	Americas
Australia	1950	8267337	10031.12138	69.02	Oceania
Australia	1951	8510600	10160.73672	68.72	Oceania
Australia	1952	8691212	10039.59564	69.12	Oceania
Australia	1953	8857924	10157.91298	69.7	Oceania
Australia	1954	9064017	10544.08738	69.85	Oceania
Australia	1955	9277087	10864.61774	70.17	Oceania
Australia	1956	9500606	10974.12837	70.05	Oceania
Australia	1957	9712569	10949.64959	70.33	Oceania
Australia	1958	9915267	11240.95886	70.88	Oceania
Australia	1959	10131729	11678.07069	70.45	Oceania
Australia	1960	10361273	11897.96372	70.89	Oceania
Australia	1961	10598814	11711.50002	71.16	Oceania
Australia	1962	10794968	12217.22686	70.93	Oceania
Australia	1963	11001483	12722.21702	70.99	Oceania
Australia	1964	11218304	13329.89726	70.65	Oceania
Australia	1965	11439384	13739.92688	70.98	Oceania
Australia	1966	11655083	13860.95806	70.82	Oceania
Australia	1967	11872264	14526.12465	71.1	Oceania
Australia	1968	12101660	15088.55836	70.73	Oceania
Australia	1969	12379384	15647.10938	71.14	Oceania
Australia	1970	12660160	16273.14214	70.81	Oceania
Australia	1971	12937200	16633.1259	71.41	Oceania
Australia	1972	13177000	16788.62948	71.93	Oceania
Australia	1973	13380400	17429.71805	72.14	Oceania
Australia	1974	13599100	17574.58167	71.89	Oceania
Australia	1975	13771400	17824.57038	72.84	Oceania
Australia	1976	13915500	18351.06793	72.88	Oceania
