country	continent	year	lifeExp
Afghanistan	Asia	1952	28.801
Afghanistan	Asia	1957	30.332
Afghanistan	Asia	1962	31.997
Afghanistan	Asia	1967	34.02
Afghanistan	Asia	1972	36.088
Afghanistan	Asia	1977	38.438
Afghanistan	Asia	1982	39.854
Afghanistan	Asia	1987	40.822
Afghanistan	Asia	1992	41.674
Afghanistan	Asia	1997	41.763
Afghanistan	Asia	2002	42.129
Afghanistan	Asia	2007	43.828
Albania	Europe	1952	55.23
Albania	Europe	1957	59.28
Albania	Europe	1962	64.82
Albania	Europe	1967	66.22
Albania	Europe	1972	67.69
Albania	Europe	1977	68.93
Albania	Europe	1982	70.42
Albania	Europe	1987	72
Albania	Europe	1992	71.581
Albania	Europe	1997	72.95
Albania	Europe	2002	75.651
Albania	Europe	2007	76.423
Algeria	Africa	1952	43.077
Algeria	Africa	1957	45.685
Algeria	Africa	1962	48.303
Algeria	Africa	1967	51.407
Algeria	Africa	1972	54.518
Algeria	Africa	1977	58.014
Algeria	Africa	1982	61.368
Algeria	Africa	1987	65.799
Algeria	Africa	1992	67.744
Algeria	Africa	1997	69.152
Algeria	Africa	2002	70.994
Algeria	Africa	2007	72.301
Angola	Africa	1952	30.015
Angola	Africa	1957	31.999
Angola	Africa	1962	34
Angola	Africa	1967	35.985
Angola	Africa	1972	37.928
Angola	Africa	1977	39.483
Angola	Africa	1982	39.942
Angola	Africa	1987	39.906
Angola	Africa	1992	40.647
Angola	Africa	1997	40.963
Angola	Africa	2002	41.003
Angola	Africa	2007	42.731
Argentina	Americas	1952	62.485
Argentina	Americas	1957	64.399
Argentina	Americas	1962	65.142
Argentina	Americas	1967	65.634
Argentina	Americas	1972	67.065
Argentina	Americas	1977	68.481
Argentina	Americas	1982	69.942
Argentina	Americas	1987	70.774
Argentina	Americas	1992	71.868
Argentina	Americas	1997	73.275
Argentina	Americas	2002	74.34
Argentina	Americas	2007	75.32
Armenia	NA	1952	62.809
Armenia	NA	1957	64.928
Armenia	NA	1962	67.055
Armenia	NA	1967	69.211
Armenia	NA	1972	70.786
Armenia	NA	1977	70.595
Armenia	NA	1982	70.916
Armenia	NA	1987	68.408
Armenia	NA	1992	68.663
Armenia	NA	1997	70.377
Armenia	NA	2002	71.403
Armenia	NA	2007	71.965
Aruba	NA	1952	60.437
Aruba	NA	1957	64.381
Aruba	NA	1962	66.606
Aruba	NA	1967	68.336
Aruba	NA	1972	70.941
Aruba	NA	1977	71.83
Aruba	NA	1982	74.116
Aruba	NA	1987	74.494
Aruba	NA	1992	74.108
Aruba	NA	1997	73.011
Aruba	NA	2002	73.451
Aruba	NA	2007	74.239
Australia	NA	1950	69.02
Australia	NA	1951	68.72
Australia	NA	1952	69.12
Australia	NA	1953	69.7
Australia	NA	1954	69.85
Australia	NA	1955	70.17
Australia	NA	1956	70.05
